"HOUSE_ID","HousePrice","StoreArea","BasementArea","LawnArea","StreetHouseFront","Location","ConnectivityType","BuildingType","ConstructionYear","EstateType","SellingYear","Rating","SaleType"
"0030",226000,487,445,14200,88,"RK Puram","Byway","IndividualHouse",1966,"PrivateBuilder",2006,7,"NewHouse"
"0031",275000,564,1148,6563,NA,"Mundka","Byway","IndividualHouse",1985,"Other",2006,8,"NewHouse"
"0032",219500,240,410,13125,75,"Ina Colony","Byway","IndividualHouse",1940,"Other",2007,7,"NewHouse"
"0033",200000,544,340,9135,70,"India Gate","Byway","IndividualHouse",2003,"Other",2006,6,"NewHouse"
"0034",266000,1053,0,10728,84,"Bawana","Byway","IndividualHouse",2006,"Other",2006,8,"FirstResale"
"0035",235000,564,429,13500,NA,"Dhaula Kuan","Byway","IndividualHouse",1960,"Other",2008,6,"NewHouse"
"0036",91000,297,462,1596,21,"Tughlaqabad Extention","Byway","RowHouses",1973,"GovernmentBuild",2009,4,"NewHouse"
"0037",142000,528,0,10721,80,"RK Puram","Byway","IndividualHouse",1959,"Other",2008,6,"NewHouse"
"0038",223500,528,1309,21384,144,"Chhatarpur","Byway","IndividualHouse",1923,"Other",2009,5,"NewHouse"
"0039",115000,672,0,10434,60,"RK Puram","Byway","IndividualHouse",1955,"Other",2009,4,"NewHouse"
"0040",196500,565,0,11645,89,"India Gate","Byway","IndividualHouse",2004,"Other",2006,7,"NewHouse"
"0041",215000,471,380,9554,80,"Lodhi Colony","Byway","IndividualHouse",1993,"Other",2006,8,"NewHouse"
"0042",392000,567,945,8089,60,"Mundka","Byway","IndividualHouse",2007,"Other",2007,8,"FirstResale"
"0043",133700,286,369,7560,70,"RK Puram","Byway","IndividualHouse",1959,"GovernmentBuild",2006,5,"NewHouse"
"0044",81000,0,495,1890,21,"Tughlaqabad Extention","Byway","RowHouses",1972,"Other",2008,4,"NewHouse"
"0045",138000,816,816,6600,60,"Vasant Vihar","Byway","IndividualHouse",1982,"Other",2008,5,"NewHouse"
"0046",236500,522,0,11838,NA,"India Gate","Byway","IndividualHouse",2001,"Other",2009,8,"NewHouse"
"0047",204900,675,0,8990,73,"India Gate","Byway","IndividualHouse",2006,"Other",2006,7,"FirstResale"
"0048",123500,308,210,6420,57,"Jama Masjid","Byway","IndividualHouse",1952,"Other",2006,5,"NewHouse"
"0049",124000,462,285,1300,24,"Ajmere Gate","Byway","RowHousesE",1980,"PrivateBuilder",2009,6,"NewHouse"
"0050",325000,840,1572,13173,108,"Okhla Indl Estate","Byway","IndividualHouse",2006,"Other",2009,9,"NewHouse"
"0051",127000,240,336,8635,50,"Chhatarpur","Byway","IndividualHouse",1948,"SemiPrivate",2008,5,"NewHouse"
"0052",151000,492,506,8471,88,"Timarpur","Byway","IndividualHouse",1977,"GovernmentBuild",2006,6,"NewHouse"
"0053",205000,843,0,13704,118,"India Gate","Byway","IndividualHouse",2001,"Other",2006,7,"NewHouse"
"0054",144000,352,737,12968,NA,"Timarpur","Byway","IndividualHouse",1962,"Other",2008,5,"NewHouse"
"0055",287090,840,0,9262,78,"Bawana","Byway","IndividualHouse",2008,"Other",2009,8,"FirstResale"
"0056",121000,192,0,8854,NA,"Chhatarpur","Byway","IndividualHouse",1916,"Other",2009,6,"NewHouse"
"0057",221000,530,922,12803,88,"India Gate","Byway","IndividualHouse",2002,"Other",2008,7,"NewHouse"
"0058",132000,240,680,8000,50,"RK Puram","Byway","IndividualHouse",1948,"Other",2009,6,"NewHouse"
"0059",216500,440,625,7851,NA,"Karol Bagh","Byway","IndividualHouse",2002,"Other",2010,6,"NewHouse"
"0060",248000,467,595,29959,NA,"Yamuna Vihar","Byway","IndividualHouse",1994,"Other",2009,7,"NewHouse"
"0061",88000,450,489,6120,51,"Chhatarpur","Byway","IndividualHouse",1925,"SemiPrivate",2006,5,"SecondResale"
"0062",100000,0,0,9825,75,"Jama Masjid","Byway","MultiStoreyBuilding",1965,"Other",2010,5,"NewHouse"
"0063",189000,410,648,8199,63,"India Gate","Byway","IndividualHouse",2005,"Other",2008,7,"NewHouse"
"0064",131500,420,659,4435,36,"India Gate","Byway","RowHousesE",2003,"Other",2007,6,"NewHouse"
"0065",123600,0,588,8070,60,"India Gate","Byway","IndividualHouse",1994,"Other",2007,4,"NewHouse"
"0066",155000,484,168,13125,88,"Timarpur","Byway","IndividualHouse",1957,"PrivateBuilder",2006,5,"NewHouse"
"0067",113000,0,0,4456,33,"Burari","Byway","TwoStoreyHouse",1920,"Other",2009,4,"FirstResale"
"0068",143500,252,196,9286,NA,"India Gate","Byway","IndividualHouse",1977,"Other",2009,5,"NewHouse"
"0069",79000,352,0,5000,63,"Burari","Byway","IndividualHouse",1900,"Other",2006,5,"NewHouse"
"0070",176000,402,0,7875,63,"Karol Bagh","Byway","IndividualHouse",1995,"Other",2007,7,"NewHouse"
"0071",212000,550,385,10667,43,"India Gate","Trunk road","IndividualHouse",1996,"Other",2009,7,"NewHouse"
"0072",239799,868,464,8760,73,"India Gate","Byway","IndividualHouse",2006,"Other",2006,7,"FirstResale"
"0073",415298,732,0,14450,107,"Okhla Indl Estate","Byway","IndividualHouse",2006,"Other",2007,9,"FirstResale"
"0074",160000,440,643,8658,84,"RK Puram","Byway","IndividualHouse",1965,"GovernmentBuild",2006,6,"SecondResale"
"0075",176000,400,0,8029,51,"Karol Bagh","Byway","IndividualHouse",2005,"Other",2008,6,"NewHouse"
"0076",257500,416,1186,14442,110,"Ina Colony","Byway","IndividualHouse",1957,"Other",2007,6,"NewHouse"
"0077",135000,484,560,7064,71,"Timarpur","Byway","IndividualHouse",1977,"Other",2009,5,"NewHouse"
"0078",87000,160,324,9439,52,"Burari","Byway","IndividualHouse",1930,"Other",2007,5,"NewHouse"
"0079",179900,719,738,10357,114,"Lodhi Colony","Frontage road","IndividualHouse",1990,"Other",2007,7,"NewHouse"
"0080",208300,676,27,7862,75,"Bawana","Byway","IndividualHouse",2009,"Other",2009,6,"FirstResale"
"0081",34900,0,495,7879,60,"Rajendra Nagar","Byway","IndividualHouse",1920,"GovernmentBuild",2009,4,"SecondResale"
"0082",62383,360,553,8281,60,"Timarpur","Byway","IndividualHouse",1965,"GovernmentBuild",2009,5,"NewHouse"
"0083",118000,205,851,7420,50,"Chhatarpur","Driveway","TwoStoreyHouse",1939,"Other",2008,5,"NewHouse"
"0084",324000,473,1619,10846,32,"Wazirpur","Byway","RowHousesE",1993,"Other",2008,8,"NewHouse"
"0085",144000,630,0,8400,60,"Lodhi Colony","Frontage road","MultiStoreyBuilding",1977,"Other",2007,5,"NewHouse"
"0086",82000,0,0,6040,65,"Jama Masjid","Byway","MultiStoreyBuilding",1955,"Other",2008,4,"FifthResale"
"0087",144000,495,645,8731,98,"Chhatarpur","Byway","IndividualHouse",1920,"Other",2007,5,"NewHouse"
"0088",147000,528,144,12000,100,"Burari","Byway","IndividualHouse",1948,"GovernmentBuild",2008,5,"NewHouse"
"0089",85000,0,0,8777,67,"Jama Masjid","Frontage road","IndividualHouse",1910,"SemiPrivate",2008,5,"NewHouse"
"0090",176000,884,672,19296,120,"RK Puram","Driveway","IndividualHouse",1962,"GovernmentBuild",2009,6,"NewHouse"
"0091",87000,779,0,9600,60,"Burari","Byway","IndividualHouse",1900,"Other",2006,4,"NewHouse"
"0092",320000,768,1234,13286,86,"Jama Masjid","Byway","IndividualHouse",2007,"Other",2009,9,"NewHouse"
"0093",140000,461,698,9170,70,"Jama Masjid","Frontage road","IndividualHouse",1965,"PrivateBuilder",2007,5,"NewHouse"
"0094",177500,440,378,2117,NA,"Bawana","Byway","RowHouses",2000,"Other",2010,6,"NewHouse"
"0095",175900,660,988,3635,51,"Adarsh Nagar","Byway","RowHousesE",2007,"Other",2009,7,"NewHouse"
"0096",201000,573,0,9196,129,"Vasant Vihar","Byway","IndividualHouse",2003,"Other",2010,7,"NewHouse"
"0097",58500,200,203,8212,45,"Jama Masjid","Byway","IndividualHouse",1914,"Other",2010,3,"NewHouse"
"0098",149000,225,0,6240,52,"Chhatarpur","Byway","IndividualHouse",1928,"Other",2006,5,"ThirdResale"
"0099",108000,520,0,8777,67,"Jama Masjid","Frontage road","IndividualHouse",1949,"SemiPrivate",2009,4,"NewHouse"
"0100",108959,400,1198,12900,60,"Timarpur","Frontage road","MultiStoreyBuilding",1969,"Other",2008,4,"FourthResale"
"0101",255900,779,0,11250,NA,"India Gate","Byway","IndividualHouse",2002,"Other",2008,8,"NewHouse"
"0102",179540,400,0,9018,65,"Karol Bagh","Byway","IndividualHouse",2007,"Other",2007,7,"FirstResale"
"0103",84900,308,0,11100,60,"Jama Masjid","Byway","IndividualHouse",1946,"Other",2010,4,"SecondResale"
"0104",187500,444,568,12205,NA,"Dhaula Kuan","Byway","IndividualHouse",1966,"Other",2007,6,"NewHouse"
"0105",168500,520,624,9020,82,"RK Puram","Frontage road","IndividualHouse",1964,"PrivateBuilder",2008,6,"NewHouse"
"0106",124000,792,0,8944,65,"RK Puram","Byway","MultiStoreyBuilding",1967,"Other",2009,5,"NewHouse"
"0107",197500,676,982,9360,78,"Tilak Nagar","Byway","IndividualHouse",1972,"Other",2010,6,"NewHouse"
"0108",178000,546,16,9600,60,"Burari","Byway","IndividualHouse",1925,"Other",2006,7,"NewHouse"
"0109",123000,288,769,7838,68,"RK Puram","Byway","IndividualHouse",1967,"Society",2006,5,"NewHouse"
"0110",159000,514,609,9500,NA,"RK Puram","Byway","IndividualHouse",1963,"Other",2009,6,"NewHouse"
"0111",277000,389,697,159000,NA,"Dhaula Kuan","Byway","IndividualHouse",1958,"Other",2007,6,"NewHouse"
"0112",274000,588,1218,12677,62,"Okhla Indl Estate","Byway","RowHousesE",2003,"Other",2008,8,"NewHouse"
"0113",175000,600,783,10200,85,"Pitampura","Byway","IndividualHouse",1988,"Other",2008,6,"SecondResale"
"0114",336000,676,854,12203,98,"Yamuna Vihar","Byway","IndividualHouse",1998,"Other",2009,8,"NewHouse"
"0115",150750,624,405,7388,75,"RK Puram","Byway","IndividualHouse",1959,"Other",2007,5,"NewHouse"
"0116",229456,552,936,8640,72,"Bawana","Byway","IndividualHouse",2009,"Other",2009,8,"FirstResale"
"0117",271000,857,1218,13265,NA,"Vasant Vihar","Byway","IndividualHouse",2002,"Other",2008,8,"NewHouse"
"0118",122000,308,0,10120,60,"Burari","Frontage road","TwoStoreyHouse",1910,"SemiPrivate",2007,7,"NewHouse"
"0119",120500,528,616,9000,60,"RK Puram","Byway","IndividualHouse",1971,"GovernmentBuild",2007,4,"NewHouse"
"0120",135900,0,210,5687,55,"Rohini","Byway","TwoStoreyHouse",1912,"Other",2008,5,"NewHouse"
"0121",68400,528,0,7500,60,"Rajendra Nagar","Byway","IndividualHouse",1920,"Other",2010,4,"SecondResale"
"0122",191000,672,0,11526,79,"Ina Colony","Byway","IndividualHouse",1922,"Other",2008,6,"NewHouse"
"0123",240000,690,0,14859,50,"Karol Bagh","Byway","IndividualHouse",2006,"Other",2006,7,"FirstResale"
"0124",129500,360,565,7599,69,"Vasant Vihar","Byway","IndividualHouse",1982,"Other",2007,4,"NewHouse"
"0125",227875,578,0,10207,84,"Bawana","Byway","IndividualHouse",2007,"Other",2007,7,"FirstResale"
"0126",187500,438,786,9590,73,"Pitampura","Byway","IndividualHouse",2003,"Other",2007,7,"NewHouse"
"0127",186500,451,0,10261,93,"Karol Bagh","Byway","IndividualHouse",2000,"Other",2008,6,"NewHouse"
"0128",158000,583,0,10448,NA,"Tilak Nagar","Byway","IndividualHouse",1972,"PrivateBuilder",2009,6,"SecondResale"
"0129",175000,406,604,21872,57,"Karol Bagh","Byway","IndividualHouse",1996,"Other",2008,7,"NewHouse"
"0130",193000,533,165,8012,50,"Lodhi Colony","Byway","RowHousesE",1993,"Other",2008,6,"NewHouse"
"0131",254000,550,863,6240,48,"Okhla Indl Estate","Byway","RowHousesE",2006,"Other",2009,8,"NewHouse"
"0132",216000,663,533,7500,NA,"Bawana","Byway","IndividualHouse",2000,"Other",2010,7,"NewHouse"
"0133",256300,890,0,14230,110,"Okhla Indl Estate","Byway","IndividualHouse",2007,"Other",2009,8,"NewHouse"
"0134",225000,746,700,13474,116,"Lodhi Colony","Frontage road","IndividualHouse",1990,"Other",2007,7,"NewHouse"
"0135",239000,864,1128,22420,86,"Ina Colony","Frontage road","IndividualHouse",1918,"Other",2007,6,"NewHouse"
"0136",233230,685,0,15611,120,"India Gate","Byway","IndividualHouse",2006,"Other",2006,8,"FirstResale"
"0137",125000,312,0,11340,84,"Burari","Byway","IndividualHouse",1923,"Other",2006,6,"ThirdResale"
"0138",200500,0,152,18030,138,"Dhaula Kuan","Byway","IndividualHouse",1946,"SemiPrivate",2007,5,"NewHouse"
"0139",340000,610,0,11143,102,"Bawana","Byway","IndividualHouse",2004,"Other",2007,8,"NewHouse"
"0140",119200,240,336,11664,60,"RK Puram","Driveway","IndividualHouse",1948,"Other",2007,6,"NewHouse"
"0141",394432,834,1445,11394,88,"Mundka","Byway","IndividualHouse",2010,"Other",2010,9,"FirstResale"
"0142",228000,678,50,11228,59,"Lodhi Colony","Byway","IndividualHouse",1993,"Other",2008,7,"NewHouse"
"0143",167000,526,778,10628,85,"RK Puram","Byway","IndividualHouse",1970,"GovernmentBuild",2007,7,"NewHouse"
"0144",197000,550,315,11584,80,"Tilak Nagar","Byway","IndividualHouse",1979,"Other",2007,7,"NewHouse"
"0145",145000,264,507,10482,65,"RK Puram","Byway","IndividualHouse",1958,"Society",2007,6,"NewHouse"
"0146",72500,287,0,6627,NA,"Chhatarpur","Frontage road","IndividualHouse",1949,"Other",2008,3,"NewHouse"
"0147",133000,396,656,8445,70,"India Gate","Byway","IndividualHouse",1972,"SemiPrivate",2009,5,"NewHouse"
"0148",155000,430,0,8536,74,"Jama Masjid","Byway","IndividualHouse",2006,"Other",2007,5,"FirstResale"
"0149",144000,315,460,11344,78,"RK Puram","Frontage road","IndividualHouse",1958,"GovernmentBuild",2007,5,"NewHouse"
"0150",202500,474,0,6955,48,"Okhla Indl Estate","Byway","RowHousesE",2005,"Other",2006,7,"FirstResale"
"0151",139000,0,0,9400,94,"Vasant Vihar","Byway","MultiStoreyBuilding",1971,"Other",2010,6,"NewHouse"
"0152",177000,342,0,7558,57,"Ina Colony","Byway","IndividualHouse",1928,"Other",2009,6,"NewHouse"
"0153",109500,625,0,7200,60,"RK Puram","Byway","IndividualHouse",1950,"Other",2006,5,"NewHouse"
"0154",130000,380,0,2522,24,"Jama Masjid","Byway","RowHouses",2004,"Other",2006,7,"NewHouse"
"0155",119500,198,0,8600,50,"Rajendra Nagar","Byway","IndividualHouse",1937,"Other",2006,6,"NewHouse"
"0156",188000,527,0,8924,57,"India Gate","Byway","IndividualHouse",1998,"Other",2008,7,"NewHouse"
"0157",203000,508,925,8814,68,"India Gate","Byway","IndividualHouse",2005,"Other",2007,7,"FirstResale"
"0158",179900,484,0,11049,85,"India Gate","Byway","IndividualHouse",2007,"Other",2008,8,"NewHouse"
"0159",143000,420,662,4426,NA,"India Gate","Byway","RowHousesE",2004,"Other",2010,6,"NewHouse"
"0160",115000,0,0,8500,85,"Rajendra Nagar","Driveway","IndividualHouse",1919,"Other",2007,5,"NewHouse"
"0161",168500,440,420,2117,NA,"Bawana","Byway","RowHousesE",2000,"Other",2007,6,"NewHouse"
"0162",185000,396,0,21780,66,"Jama Masjid","Byway","IndividualHouse",1918,"Other",2008,6,"NewHouse"
"0163",248328,954,0,9849,83,"Bawana","Byway","IndividualHouse",2007,"Other",2007,7,"FirstResale"
"0164",151000,460,602,9750,65,"RK Puram","Byway","IndividualHouse",1969,"Other",2008,6,"NewHouse"
"0165",119000,280,732,8190,60,"Jama Masjid","Byway","IndividualHouse",1954,"Other",2007,4,"NewHouse"
"0166",172500,440,381,3230,34,"Bawana","Byway","RowHousesE",1999,"Other",2009,6,"NewHouse"
"0167",264561,648,1154,3982,53,"Adarsh Nagar","Byway","RowHousesE",2006,"Other",2006,8,"FirstResale"
"0168",232000,834,0,8688,73,"Bawana","Byway","IndividualHouse",2005,"Other",2006,7,"NewHouse"
"0169",151400,576,837,3964,42,"Tughlaqabad Extention","Byway","RowHousesE",1973,"PrivateBuilder",2006,6,"NewHouse"
"0170",171000,476,0,8400,70,"Lodhi Colony","Byway","IndividualHouse",1980,"SemiPrivate",2010,6,"NewHouse"
"0171",239000,576,649,7399,66,"Bawana","Byway","IndividualHouse",1997,"Other",2007,7,"NewHouse"
"0172",438780,641,0,13682,66,"Mundka","Byway","IndividualHouse",2006,"Other",2006,10,"FirstResale"
"0173",132000,576,0,6120,51,"Chhatarpur","Byway","IndividualHouse",1929,"PrivateBuilder",2007,7,"NewHouse"
"0174",140000,506,504,7763,70,"RK Puram","Byway","IndividualHouse",1962,"Other",2008,5,"NewHouse"
"0175",239900,800,0,10463,72,"Karol Bagh","Byway","IndividualHouse",2005,"Other",2006,8,"NewHouse"
"0176",178000,403,0,9056,74,"Karol Bagh","Byway","IndividualHouse",2004,"Other",2006,8,"NewHouse"
"0177",274900,856,1088,9591,76,"Okhla Indl Estate","Byway","IndividualHouse",2004,"Other",2009,8,"NewHouse"
"0178",220000,471,1005,6853,NA,"Pitampura","Byway","IndividualHouse",2001,"Other",2009,8,"NewHouse"
"0179",143000,576,0,25000,100,"Vasant Vihar","Byway","MultiStoreyBuilding",1967,"Other",2007,5,"NewHouse"
"0180",286000,682,1153,4923,41,"Mundka","Byway","RowHousesE",2001,"Other",2008,8,"NewHouse"
"0181",193500,575,1138,8125,65,"Lodhi Colony","Byway","IndividualHouse",1994,"Other",2008,6,"NewHouse"
"0182",159500,704,0,10800,60,"Burari","Byway","IndividualHouse",1890,"Other",2007,7,"NewHouse"
"0183",155000,164,299,2500,50,"Burari","Byway","IndividualHouse",1915,"Other",2009,7,"NewHouse"
"0184",175000,540,767,15611,NA,"Tilak Nagar","Byway","IndividualHouse",1977,"Other",2008,5,"SecondResale"
"0185",166000,458,1040,11900,80,"RK Puram","Byway","IndividualHouse",1957,"Other",2008,6,"NewHouse"
"0186",210000,440,300,8737,70,"Chhatarpur","Byway","IndividualHouse",1923,"Other",2007,6,"NewHouse"
"0187",223000,540,1110,16381,NA,"Ina Colony","Byway","IndividualHouse",1969,"Other",2006,6,"NewHouse"
"0188",328000,533,1201,14000,80,"Dhaula Kuan","Byway","IndividualHouse",1996,"Other",2010,7,"NewHouse"
"0189",136900,325,444,9525,75,"Jama Masjid","Byway","IndividualHouse",1954,"Other",2006,6,"NewHouse"
"0190",145000,216,0,6292,52,"Rohini","Byway","IndividualHouse",1928,"Other",2009,7,"NewHouse"
"0191",107000,672,422,7819,94,"Jama Masjid","Byway","IndividualHouse",1976,"SemiPrivate",2010,6,"SecondResale"
"0192",159434,281,182,4500,55,"Rohini","Byway","IndividualHouse",1932,"Other",2009,5,"SecondResale"
"0193",100000,480,0,8520,60,"Burari","Byway","IndividualHouse",1923,"Other",2007,5,"NewHouse"
"0194",134000,528,874,4224,44,"Tughlaqabad Extention","Byway","RowHousesE",1976,"SemiPrivate",2007,5,"NewHouse"
"0195",119750,240,0,6305,50,"Ina Colony","Byway","IndividualHouse",1938,"SemiPrivate",2007,5,"NewHouse"
"0196",132250,648,633,25286,94,"Vasant Vihar","Byway","IndividualHouse",1963,"Other",2007,4,"NewHouse"
"0197",129900,572,840,4224,44,"Tughlaqabad Extention","Byway","RowHousesE",1976,"Other",2007,5,"NewHouse"
"0198",360000,708,1274,12378,90,"Okhla Indl Estate","Byway","IndividualHouse",2003,"Other",2006,9,"NewHouse"
"0199",156932,432,0,8499,73,"Karol Bagh","Byway","IndividualHouse",2006,"Other",2007,6,"FirstResale"
"0200",124500,463,191,8120,70,"RK Puram","Byway","IndividualHouse",1970,"Other",2009,4,"NewHouse"
"0201",141000,0,0,8000,80,"RK Puram","Driveway","MultiStoreyBuilding",1961,"Other",2007,5,"NewHouse"
"0202",150000,750,567,8973,69,"RK Puram","Byway","IndividualHouse",1958,"Society",2006,5,"SecondResale"
"0203",231500,564,361,12435,80,"India Gate","Byway","IndividualHouse",2001,"Other",2008,7,"NewHouse"
"0204",325000,880,0,13500,75,"Burari","Driveway","IndividualHouse",1893,"Other",2008,10,"NewHouse"
"0205",118500,261,903,7943,61,"Timarpur","Frontage road","IndividualHouse",1961,"Other",2007,4,"NewHouse"
"0206",129500,396,319,9600,60,"Burari","Byway","IndividualHouse",1917,"Other",2008,6,"NewHouse"
"0207",114500,528,0,6240,52,"Chhatarpur","Byway","IndividualHouse",1934,"SemiPrivate",2006,6,"NewHouse"
"0208",214000,532,2,10171,70,"Okhla Indl Estate","Byway","IndividualHouse",2004,"Other",2010,7,"NewHouse"
"0209",555000,672,1767,15431,105,"Okhla Indl Estate","Byway","IndividualHouse",2008,"Other",2009,10,"NewHouse"
"0210",127500,480,0,9855,73,"Jama Masjid","Byway","IndividualHouse",1956,"SemiPrivate",2009,6,"NewHouse"
"0211",106000,440,0,2016,24,"Chanakyapuri","Byway","RowHousesE",1970,"Other",2007,5,"NewHouse"
"0212",195000,434,0,12393,41,"India Gate","Byway","IndividualHouse",2004,"Other",2006,7,"NewHouse"
"0213",135000,504,975,10530,78,"Vasant Vihar","Byway","MultiStoreyBuilding",1977,"Other",2006,6,"NewHouse"
"0214",136500,368,915,10659,NA,"RK Puram","Byway","IndividualHouse",1961,"Other",2006,5,"NewHouse"
"0215",226700,603,400,9803,75,"Bawana","Byway","IndividualHouse",2005,"Other",2008,7,"NewHouse"
"0216",320000,788,0,11670,84,"Bawana","Motorway","IndividualHouse",2006,"Other",2007,9,"NewHouse"
"0217",136500,576,423,8400,60,"Rohini","Byway","IndividualHouse",1925,"Other",2008,6,"NewHouse"
"0218",145000,572,1056,34650,100,"Karol Bagh","Byway","TwoStoreyHouse",1955,"Other",2006,5,"NewHouse"
"0219",67000,338,0,8967,60,"Rajendra Nagar","Byway","IndividualHouse",1920,"Other",2007,5,"SecondResale"
"0220",132500,540,803,7728,70,"RK Puram","Byway","MultiStoreyBuilding",1962,"GovernmentBuild",2006,5,"NewHouse"
"0221",178000,573,0,9100,70,"India Gate","Byway","IndividualHouse",2001,"Other",2009,7,"NewHouse"
"0222",108480,326,0,5400,60,"Burari","Byway","IndividualHouse",1921,"Other",2006,5,"SecondResale"
"0223",86000,216,0,5400,60,"Burari","Byway","IndividualHouse",1920,"Other",2007,5,"SecondResale"
"0224",154300,480,443,11600,80,"RK Puram","Frontage road","MultiStoreyBuilding",1960,"Other",2010,5,"NewHouse"
"0225",112000,539,0,8930,68,"Timarpur","Interstate Highway","MultiStoreyBuilding",1978,"Other",2010,6,"NewHouse"
"0226",212000,578,20,10769,68,"India Gate","Byway","IndividualHouse",2007,"Other",2009,8,"NewHouse"
"0227",80000,286,509,1477,21,"Tughlaqabad Extention","Byway","RowHousesE",1970,"Other",2009,4,"NewHouse"
"0228",135000,548,0,8172,60,"Jama Masjid","Byway","IndividualHouse",1954,"Other",2008,4,"NewHouse"
"0229",149350,271,0,8544,NA,"Timarpur","Byway","IndividualHouse",1966,"SemiPrivate",2008,5,"NewHouse"
"0230",207500,673,503,8791,64,"Bawana","Byway","IndividualHouse",2003,"Other",2008,6,"NewHouse"
"0231",136000,0,0,9000,60,"RK Puram","Byway","MultiStoreyBuilding",1974,"Other",2009,5,"NewHouse"
"0232",97000,308,0,12702,70,"Burari","Byway","IndividualHouse",1956,"Other",2008,5,"NewHouse"
"0233",152000,479,0,10400,80,"Tilak Nagar","Byway","IndividualHouse",1976,"SemiPrivate",2009,7,"ThirdResale"
"0234",165000,402,883,4500,NA,"Vasant Vihar","Byway","RowHousesE",1999,"Other",2009,6,"NewHouse"
"0235",79900,528,0,5825,52,"Chhatarpur","Byway","IndividualHouse",1926,"Other",2006,4,"NewHouse"
"0236",274300,583,975,9750,75,"India Gate","Byway","IndividualHouse",1998,"Other",2006,7,"NewHouse"
"0237",153500,812,338,8100,90,"Burari","Byway","IndividualHouse",1948,"GovernmentBuild",2007,5,"NewHouse"
"0238",161500,457,251,9790,NA,"Tilak Nagar","Frontage road","IndividualHouse",1967,"Other",2009,6,"NewHouse"
"0239",207500,577,828,5062,NA,"Mundka","Byway","RowHousesE",1984,"Other",2007,7,"NewHouse"
